Is protectionism a big part of the Great Depression, as Ben Sasse said?		True		"We’ve been down this road before—blanket protectionism is a big part of why America had a Great Depression."
Trump correctly tweets that Democrats mistakenly tweeted photo of child migrants being held in 2014		True		"Democrats mistakenly tweet 2014 pictures from Obama’s term showing children from the Border in steel cages."
Is the minimum wage worth less now than 50 years ago?		True		"Taking into account inflation, the federal minimum wage is actually worth less than what it was worth 50 years ago."
Bernie Sanders says Amazon paid no federal income tax in 2017. He's right		True		"You know what Amazon paid in federal income taxes last year? Zero."
Yes, $1 million from Mitt Romney’s failed White House bid is fueling his Senate run		True		Says Mitt Romney is using "a million of his presidential campaign dollars to finance his Utah Senate race."
Does West Virginia lead the nation in overdose drug death rate? Yes		True		West Virginia "has the highest overdose death rate in the nation."
Donald Trump says China, Singapore have death penalty for drug dealers		True		Says China and Singapore impose the death penalty on drug dealers.
Donald Trump is correct about record-low ratings for 2018 Oscars		True		The 2018 Academy Awards show was the "lowest rated Oscars in HISTORY."
Precedent says West Virginia teacher's strike isn't lawful		True		"The impending work stoppage is unlawful."
Donald Trump correct that small business optimism is at record high		True		"Small business confidence is at an all-time high."
Nancy Pelosi correct that renewing kids' health program saves money		True		Reauthorizing the Children’s Health Insurance Program "for six years saves $1 billion" and doing it for 10 years saves $6 billion.
Donald Trump’s ‘fake news’ epithet emboldens despots around the world		True		Says Donald Trump's use of the term "fake news" to undermine journalism "seems (to have) inspired dictators and authoritarians."
Donald Trump’s ‘fake news awards’ could land White House staff in hot water		True		The White House staff risks violating federal ethics rules if they participate in Donald Trump’s "fake news awards."
Is Donald Trump right that the Dow Jones just had its fastest-ever 1,000-point jump?		True		The Dow Jones Industrial Average "jumped 1000 points in last 5 weeks, Record fastest 1000 point move in history."
Flake: Roy Moore said Muslims shouldn't serve in Congress		True		Says Roy Moore said a "practicing Muslim should not be a member of Congress because of his faith."
 		True		None
What have courts said about the constitutionality of DACA?		True		"No court has held (Deferred Action for Childhood Arrivals) unconstitutional."
 		True		None
When can the 25th Amendment be used against a president?		True		"I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office."
Are renovations keeping Trump out of the White House?		True		Says his time away from Washington coincides with a "long planned renovation" for the White House.
Ivanka Trump right about role of 'skills gap' in unfilled jobs		True		"There are currently 6 million jobs available in this country that are due in part to the skills gap."
Are Nicaragua and Syria the only countries not to sign Paris Agreement?		True		"Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough."
Are there U.S. embassies in countries listed in Trump's travel ban?		True		"Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet."
Did federal inmate population drop under Obama for first time since Carter?		True		"President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office."
Donald Trump mentions tax deductions 'for birds flying across America,' and he should know		True		The federal tax code includes "deductions for birds flying across America."
Donald Trump says Michael Flynn got security clearance from Obama administration 		True		"General Flynn got his clearance from the Obama administration."
