Alexandria Ocasio-Cortez misrepresents ICE’s detention bed quota 		False		"ICE is required to fill 34,000 beds with detainees every single night and that number has only been increasing since 2009."
No, it's not correct that 39% of California students are undocumented		False		"39% of All California Students are illegals."
Viral image overstates births to undocumented mothers in California		False		"More than 66% of ALL births in California are to illegals on Medi-Cal."
Donald Trump off-base in describing GDP growth on his watch		False		"Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible."
Donald Trump wrong that Mercedes, BMW import cars to U.S. by the millions		False		"The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions."
Jeff Sessions' false claim that 80 percent of asylum applications are without merit		False		"Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief."
Ad falsely accuses Nevada's GOP governor candidate Laxalt of caving to drug makers		False		Says Republican gubernatorial candidate Adam Laxalt "tried to cut a deal with big pharma" in a lawsuit.
 		False		None
Ivanka Trump's Chinese proverb ahead of Singapore summit doesn't check out		False		A Chinese proverb says, "Those who say it can not be done, should not interrupt those doing it."
Donald Trump wrong about crime in Germany		False		"Crime in Germany is way up."
Dinesh D'Souza and Rosie O'Donnell FEC violations different		False		Says "Rosie O’Donnell apparently committed the same offense five times, five times, when she broke the identical law that Dinesh (D'Souza) was prosecuted for."
Kevin Cramer distorts Heidi Heitkamp's record on banking regulations		False		Says Heidi Heitkamp has "never been interested in" regulatory relief "until all of a sudden I become a candidate for the Senate and put pressure on."
Donald Trump falsely claims opioid numbers way down after $6 billion in new spending		False		"We got $6 billion for opioid and getting rid of that scourge that’s taking over our country. And the numbers are way down."
 		False		None
Donald Trump's false claim about 'thousands' of immigration judges		False		Speaking of immigration cases, says, "We have thousands of judges."
Donald Trump blames Democrats for own immigration policy separating families		False		A "horrible law" requires that children be separated from their parents "once they cross the Border into the U.S."
Donald Trump's false claim that Nancy Pelosi 'came out in favor of MS-13'		False		Says "Nancy Pelosi came out in favor of MS-13."
Did ex-intelligence chief Clapper say FBI spied on Trump campaign? No		False		Says James Clapper said "that the FBI was spying on (Trump's) campaign."
 		False		None
No links between Ritalin and school shootings, as NRA's Oliver North claimed		False		Perpetrators of school shootings "have been drugged in many cases … many of these young boys have been on Ritalin since they were in kindergarten."
Nancy Pelosi wrong on Medicaid's role for children, elderly		False		"Two-thirds of the people who use Medicaid are poor children, but two-thirds of the money is for long-term care for seniors, whether in a facility or at home."
